,Date,OptionPrice,StrikePrice,OptionSymbol,ExpiryDate,FuturePrice,OptionType,tte,IV
25337,2023-05-03 13:39:00,32.5,860,AXISBANK29JUN23860CE,2023-06-29 15:30:00,858.6,c,0.16430833333333333,0.23898014565486222
25339,2023-04-28 14:40:00,33.0,860,AXISBANK29JUN23860CE,2023-06-29 15:30:00,857.65,c,0.17213888888888887,0.24042026733437444
25342,2023-04-13 14:16:00,13.5,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,857.4,c,0.04020555555555556,0.2149468070556434
25351,2023-04-17 10:13:00,10.25,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,864.15,p,0.03288055555555556,0.19584822788064354
25352,2023-04-05 09:33:00,20.05,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,862.1,c,0.06499166666666667,0.21677992942227495
25354,2023-05-04 11:43:00,14.4,860,AXISBANK25MAY23860PE,2023-05-25 15:30:00,859.6,p,0.060630555555555556,0.16812746247345395
25358,2023-04-18 14:27:00,14.0,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,861.4,c,0.028175000000000002,0.23056937452943066
25366,2023-04-03 11:54:00,19.55,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,858.15,c,0.0726,0.2216137744539128
25368,2023-04-05 15:08:00,15.05,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,861.1,p,0.06406111111111111,0.17947611627662732
25377,2023-04-17 15:28:00,9.7,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,863.9,p,0.03200555555555556,0.1876818839157518
25386,2023-04-18 13:56:00,10.3,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,860.9,p,0.028261111111111112,0.18618877409008744
25387,2023-05-04 10:59:00,31.85,860,AXISBANK29JUN23860CE,2023-06-29 15:30:00,859.7,c,0.16075277777777777,0.23275150797698632
25392,2023-04-17 11:23:00,16.5,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,861.65,c,0.03268611111111111,0.2522640533556791
25394,2023-04-13 15:24:00,31.5,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,864.15,c,0.11601666666666667,0.2508679671367882
25402,2023-05-03 10:34:00,32.9,860,AXISBANK29JUN23860CE,2023-06-29 15:30:00,863.5,c,0.16482222222222223,0.22303388894193998
25406,2023-04-24 09:16:00,5.85,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,864.9,p,0.01303888888888889,0.20526239136412272
25407,2023-05-04 09:52:00,34.1,860,AXISBANK29JUN23860CE,2023-06-29 15:30:00,858.5,c,0.16093888888888888,0.2534929329555478
25409,2023-04-05 09:37:00,19.95,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,862.8,c,0.06498055555555556,0.2113980006162106
25411,2023-04-17 13:16:00,9.6,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,864.55,p,0.032372222222222226,0.18960901101123684
25414,2023-04-28 09:53:00,51.05,860,AXISBANK29JUN23860CE,2023-06-29 15:30:00,864.6,c,0.1729361111111111,0.34081580474953005
25416,2023-05-04 12:41:00,22.5,860,AXISBANK29JUN23860PE,2023-06-29 15:30:00,860.9,p,0.16046944444444444,0.16690854904463104
25419,2023-05-04 13:01:00,19.9,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,860.7,c,0.060413888888888885,0.2317434967205733
25422,2023-04-28 11:09:00,18.8,860,AXISBANK25MAY23860PE,2023-05-25 15:30:00,856.5,p,0.072725,0.18405216503430924
25425,2023-05-04 14:20:00,22.5,860,AXISBANK29JUN23860PE,2023-06-29 15:30:00,863.6,p,0.16019444444444444,0.1763179156147481
25427,2023-04-06 11:07:00,18.1,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,860.6,c,0.06073055555555555,0.21045817743939993
25431,2023-04-28 11:00:00,33.0,860,AXISBANK29JUN23860CE,2023-06-29 15:30:00,856.8,c,0.17275,0.24302811455807555
25434,2023-05-04 13:28:00,13.7,860,AXISBANK25MAY23860PE,2023-05-25 15:30:00,861.75,p,0.060338888888888886,0.17258117382508478
25435,2023-04-17 13:33:00,33.45,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,864.55,c,0.108325,0.27497778355880886
25436,2023-04-28 14:58:00,33.0,860,AXISBANK29JUN23860CE,2023-06-29 15:30:00,857.0,c,0.17208888888888887,0.24278102588847114
25448,2023-04-21 13:46:00,8.0,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,860.7,p,0.016288888888888887,0.19051236734283128
25452,2023-04-17 13:13:00,19.25,860,AXISBANK25MAY23860PE,2023-05-25 15:30:00,864.7,p,0.10838055555555555,0.19002543782951797
25456,2023-05-03 11:08:00,12.45,860,AXISBANK25MAY23860PE,2023-05-25 15:30:00,864.6,p,0.06472777777777777,0.16723050777304158
25457,2023-05-04 10:49:00,22.3,860,AXISBANK29JUN23860PE,2023-06-29 15:30:00,860.9,p,0.16078055555555557,0.16529296178508784
25461,2023-04-05 11:47:00,18.65,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,859.35,c,0.06461944444444445,0.21765601113502325
25465,2023-04-28 15:12:00,22.05,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,861.55,c,0.07204999999999999,0.2307484821254895
25466,2023-04-13 14:59:00,16.15,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,863.7,c,0.040086111111111114,0.20663251602839083
25467,2023-04-18 13:56:00,13.8,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,860.9,c,0.028261111111111112,0.23127100596146907
25471,2023-04-03 14:14:00,21.45,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,864.9,c,0.0722111111111111,0.20443177798833745
25479,2023-04-06 12:21:00,16.35,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,856.2,p,0.060524999999999995,0.17063861295655086
25481,2023-04-28 09:40:00,25.1,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,863.65,c,0.07297222222222222,0.2501571237017103
25483,2023-04-13 15:11:00,20.2,860,AXISBANK25MAY23860PE,2023-05-25 15:30:00,863.8,p,0.11605277777777778,0.18825550398972574
25487,2023-04-18 13:50:00,31.5,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,858.6,c,0.10427777777777777,0.290937404815802
25488,2023-04-21 12:55:00,7.45,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,861.35,p,0.016430555555555556,0.1842049343339159
25490,2023-04-17 14:48:00,9.35,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,864.1,p,0.03211666666666667,0.18305624742535473
25491,2023-04-21 12:53:00,7.5,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,860.95,p,0.016436111111111113,0.18100954325371765
25495,2023-04-17 10:06:00,16.25,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,862.35,c,0.0329,0.2414631492296999
25496,2023-04-05 14:00:00,18.3,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,859.95,c,0.06425,0.21074772926792815
25498,2023-04-06 10:29:00,16.15,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,856.55,c,0.06083611111111111,0.21105025404154176
25501,2023-04-05 10:22:00,16.1,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,859.9,p,0.06485555555555556,0.18372000483300555
25504,2023-04-21 12:41:00,28.7,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,862.2,c,0.09246944444444444,0.2641456993867102
25506,2023-04-05 10:31:00,15.55,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,860.85,p,0.06483055555555556,0.18275499367274745
25508,2023-04-28 11:54:00,19.45,860,AXISBANK25MAY23860PE,2023-05-25 15:30:00,856.0,p,0.0726,0.18843043187354205
25511,2023-05-04 09:24:00,13.75,860,AXISBANK25MAY23860PE,2023-05-25 15:30:00,863.2,p,0.061016666666666663,0.18017552535858025
25512,2023-04-28 15:06:00,33.0,860,AXISBANK29JUN23860CE,2023-06-29 15:30:00,860.0,c,0.17206666666666665,0.2319661232557103
25513,2023-05-04 12:15:00,22.0,860,AXISBANK29JUN23860PE,2023-06-29 15:30:00,858.95,p,0.16054166666666667,0.15630913561156834
25514,2023-04-05 09:18:00,15.55,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,860.4,p,0.06503333333333333,0.17997777562126535
25515,2023-05-04 13:31:00,20.35,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,861.55,c,0.060330555555555554,0.23199329700911422
25516,2023-04-03 09:35:00,14.9,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,863.65,p,0.07298611111111111,0.17939306110170938
25523,2023-04-05 13:03:00,19.1,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,861.0,c,0.06440833333333333,0.2134686991265483
25524,2023-05-03 14:22:00,20.25,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,859.7,c,0.06418888888888889,0.2347599553482172
25525,2023-05-03 13:35:00,32.5,860,AXISBANK29JUN23860CE,2023-06-29 15:30:00,858.55,c,0.16431944444444446,0.23915671411856607
25527,2023-04-06 13:20:00,16.5,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,858.35,c,0.06036111111111111,0.2056058498861497
25531,2023-04-17 13:24:00,33.5,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,863.9,c,0.10835,0.2784944906426465
25536,2023-05-04 11:08:00,31.7,860,AXISBANK29JUN23860CE,2023-06-29 15:30:00,859.55,c,0.16072777777777777,0.23224188598619006
25542,2023-05-03 12:29:00,32.95,860,AXISBANK29JUN23860CE,2023-06-29 15:30:00,857.2,c,0.16450277777777778,0.24722459381798578
25543,2023-04-03 11:13:00,19.2,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,857.95,c,0.07271388888888888,0.21872425939354204
25544,2023-05-04 12:14:00,19.3,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,858.85,c,0.06054444444444444,0.2355575588977601
25549,2023-04-28 09:56:00,25.8,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,864.05,c,0.07292777777777777,0.2554612626259604
25550,2023-04-06 12:40:00,15.8,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,858.7,p,0.06047222222222222,0.1796119536129821
25552,2023-04-21 14:30:00,9.7,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,863.8,c,0.016166666666666666,0.17498876134327687
25553,2023-04-28 11:09:00,21.0,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,856.5,c,0.072725,0.2459664202329896
25558,2023-04-18 13:48:00,12.75,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,858.05,c,0.028283333333333334,0.23777226247956404
25563,2023-04-21 14:55:00,19.1,860,AXISBANK25MAY23860PE,2023-05-25 15:30:00,864.9,p,0.09209722222222222,0.20556773110756102
25565,2023-05-03 13:27:00,24.5,860,AXISBANK29JUN23860PE,2023-06-29 15:30:00,858.5,p,0.16434166666666666,0.1708870667898953
25566,2023-04-21 13:06:00,8.1,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,858.3,c,0.0164,0.2033212527860243
25572,2023-04-17 11:30:00,21.0,860,AXISBANK25MAY23860PE,2023-05-25 15:30:00,863.6,p,0.10866666666666666,0.20081037302281812
