,Date,OptionPrice,StrikePrice,OptionSymbol,ExpiryDate,FuturePrice,OptionType,tte,IV
195829,2023-04-25 12:22:00,52.3,1880,KOTAKBANK25MAY231880CE,2023-05-25 15:30:00,1886.2,c,0.08452222222222222,0.225021641139879
195835,2023-04-25 09:47:00,52.8,1880,KOTAKBANK25MAY231880CE,2023-05-25 15:30:00,1885.2,c,0.08495277777777778,0.22916936352691997
195839,2023-04-19 10:16:00,16.7,1880,KOTAKBANK27APR231880PE,2023-04-27 15:30:00,1883.7,p,0.024872222222222223,0.1561787234891569
195842,2023-04-19 11:48:00,37.85,1880,KOTAKBANK25MAY231880PE,2023-05-25 15:30:00,1883.1,p,0.10061666666666667,0.1654136162334627
195852,2023-04-19 10:13:00,16.0,1880,KOTAKBANK27APR231880PE,2023-04-27 15:30:00,1884.5,p,0.024880555555555555,0.1533350153750174
195855,2023-04-25 12:35:00,32.85,1880,KOTAKBANK25MAY231880PE,2023-05-25 15:30:00,1885.2,p,0.08448611111111112,0.1621252278562825
195863,2023-04-26 10:00:00,10.75,1880,KOTAKBANK27APR231880PE,2023-04-27 15:30:00,1875.9,p,0.004916666666666666,0.16264086303767641
195868,2023-04-24 11:04:00,10.65,1880,KOTAKBANK27APR231880PE,2023-04-27 15:30:00,1883.0,p,0.01273888888888889,0.1427184912834969
195869,2023-04-24 12:13:00,13.0,1880,KOTAKBANK27APR231880CE,2023-04-27 15:30:00,1883.9,c,0.012547222222222222,0.13008022490191473
195870,2023-04-26 10:14:00,48.75,1880,KOTAKBANK25MAY231880CE,2023-05-25 15:30:00,1876.65,c,0.08087777777777778,0.23658102738947973
195873,2023-04-17 13:13:00,60.2,1880,KOTAKBANK25MAY231880CE,2023-05-25 15:30:00,1889.75,c,0.10838055555555555,0.22298450680615556
195877,2023-04-17 09:20:00,21.45,1880,KOTAKBANK27APR231880CE,2023-04-27 15:30:00,1877.85,c,0.03302777777777778,0.16523681270521093
195879,2023-04-25 09:56:00,12.85,1880,KOTAKBANK27APR231880CE,2023-04-27 15:30:00,1881.6,c,0.008927777777777778,0.16972933265876539
195880,2023-04-25 13:07:00,13.35,1880,KOTAKBANK27APR231880CE,2023-04-27 15:30:00,1885.75,c,0.008397222222222223,0.1484553181840581
195882,2023-04-26 11:20:00,39.65,1880,KOTAKBANK25MAY231880PE,2023-05-25 15:30:00,1871.65,p,0.08069444444444444,0.16615490651032266
195908,2023-04-24 10:50:00,49.35,1880,KOTAKBANK25MAY231880CE,2023-05-25 15:30:00,1882.1,c,0.08877777777777777,0.2160201446316316
195914,2023-04-25 12:30:00,13.25,1880,KOTAKBANK27APR231880CE,2023-04-27 15:30:00,1884.85,c,0.0085,0.15381712110860837
195925,2023-04-13 15:14:00,26.75,1880,KOTAKBANK27APR231880PE,2023-04-27 15:30:00,1871.75,p,0.040044444444444445,0.14947171194751513
195927,2023-04-20 15:25:00,12.75,1880,KOTAKBANK27APR231880PE,2023-04-27 15:30:00,1883.3,p,0.02001388888888889,0.1350297166029685
195928,2023-04-25 09:51:00,51.0,1880,KOTAKBANK25MAY231880CE,2023-05-25 15:30:00,1882.1,c,0.08494166666666667,0.22839354152993438
195930,2023-04-24 10:07:00,48.35,1880,KOTAKBANK25MAY231880CE,2023-05-25 15:30:00,1881.0,c,0.08889722222222221,0.21395034394141882
195942,2023-04-24 13:24:00,8.3,1880,KOTAKBANK27APR231880PE,2023-04-27 15:30:00,1889.6,p,0.01235,0.14981529871704416
195945,2023-04-17 09:51:00,51.9,1880,KOTAKBANK25MAY231880CE,2023-05-25 15:30:00,1873.9,c,0.10894166666666666,0.22216679348057655
195952,2023-04-25 12:43:00,12.0,1880,KOTAKBANK27APR231880CE,2023-04-27 15:30:00,1883.0,c,0.008463888888888889,0.151059363219651
195954,2023-04-24 10:11:00,14.55,1880,KOTAKBANK27APR231880CE,2023-04-27 15:30:00,1883.6,c,0.012886111111111112,0.14865933153546448
195956,2023-04-18 15:01:00,26.5,1880,KOTAKBANK27APR231880CE,2023-04-27 15:30:00,1889.1,c,0.028080555555555557,0.1718219089191511
195962,2023-04-25 11:20:00,50.55,1880,KOTAKBANK25MAY231880CE,2023-05-25 15:30:00,1883.9,c,0.08469444444444445,0.22235345403178614
195964,2023-04-24 10:25:00,49.0,1880,KOTAKBANK25MAY231880CE,2023-05-25 15:30:00,1883.5,c,0.08884722222222222,0.21110082083911688
195965,2023-04-25 11:57:00,52.1,1880,KOTAKBANK25MAY231880CE,2023-05-25 15:30:00,1887.25,c,0.08459166666666668,0.22143700606240135
195967,2023-04-25 12:42:00,9.8,1880,KOTAKBANK27APR231880PE,2023-04-27 15:30:00,1883.7,p,0.008466666666666667,0.16728429701653313
195969,2023-04-19 13:04:00,37.45,1880,KOTAKBANK25MAY231880PE,2023-05-25 15:30:00,1882.2,p,0.10040555555555557,0.1620909432404164
195970,2023-04-19 14:54:00,15.75,1880,KOTAKBANK27APR231880PE,2023-04-27 15:30:00,1884.4,p,0.0241,0.15325003603890552
195975,2023-04-25 09:23:00,53.2,1880,KOTAKBANK25MAY231880CE,2023-05-25 15:30:00,1882.0,c,0.08501944444444445,0.2385884302749625
195980,2023-04-26 15:04:00,11.0,1880,KOTAKBANK27APR231880PE,2023-04-27 15:30:00,1874.75,p,0.004072222222222222,0.16960055202732888
195982,2023-04-25 11:49:00,7.6,1880,KOTAKBANK27APR231880PE,2023-04-27 15:30:00,1888.25,p,0.00861388888888889,0.16121869163321167
195983,2023-04-19 14:15:00,20.7,1880,KOTAKBANK27APR231880CE,2023-04-27 15:30:00,1884.3,c,0.024208333333333335,0.15810317280436487
195984,2023-04-25 09:38:00,14.25,1880,KOTAKBANK27APR231880CE,2023-04-27 15:30:00,1886.0,c,0.008977777777777777,0.15440857577109157
195988,2023-04-26 10:04:00,8.2,1880,KOTAKBANK27APR231880CE,2023-04-27 15:30:00,1879.35,c,0.004905555555555555,0.16224030689861277
195994,2023-04-13 15:26:00,28.2,1880,KOTAKBANK27APR231880PE,2023-04-27 15:30:00,1870.3,p,0.040011111111111115,0.15388361467241332
