,Date,OptionPrice,StrikePrice,OptionSymbol,ExpiryDate,FuturePrice,OptionType,tte,IV
204386,2023-04-20 13:47:00,28.8,1670,HDFCBANK25MAY231670CE,2023-05-25 15:30:00,1670.0,c,0.09628611111111111,0.1393214373920292
204387,2023-04-17 12:43:00,19.2,1670,HDFCBANK27APR231670PE,2023-04-27 15:30:00,1665.65,p,0.03246388888888889,0.14127531502067256
204391,2023-04-18 13:10:00,35.4,1670,HDFCBANK25MAY231670PE,2023-05-25 15:30:00,1671.65,p,0.10438888888888888,0.16819844731670103
204392,2023-04-27 11:38:00,1.4,1670,HDFCBANK27APR231670PE,2023-04-27 15:30:00,1672.45,p,0.0006444444444444444,0.14363822793310416
204393,2023-04-25 11:29:00,12.2,1670,HDFCBANK27APR231670CE,2023-04-27 15:30:00,1674.5,c,0.008669444444444445,0.1575408100257927
204396,2023-04-21 12:47:00,34.7,1670,HDFCBANK25MAY231670PE,2023-05-25 15:30:00,1669.0,p,0.09245277777777777,0.16888372981455974
204398,2023-04-21 10:55:00,27.9,1670,HDFCBANK25MAY231670CE,2023-05-25 15:30:00,1665.05,c,0.09276388888888888,0.14961043257608253
204399,2023-04-19 15:15:00,29.1,1670,HDFCBANK25MAY231670CE,2023-05-25 15:30:00,1665.1,c,0.10004166666666667,0.14966666286523958
204403,2023-04-06 14:39:00,27.7,1670,HDFCBANK27APR231670CE,2023-04-27 15:30:00,1667.65,c,0.06014166666666666,0.17677400750356265
204405,2023-04-26 11:31:00,25.8,1670,HDFCBANK25MAY231670CE,2023-05-25 15:30:00,1668.6,c,0.0806638888888889,0.14008576921825366
204412,2023-04-21 12:58:00,27.5,1670,HDFCBANK25MAY231670CE,2023-05-25 15:30:00,1668.7,c,0.09242222222222223,0.13902450299584954
204414,2023-04-20 15:29:00,34.2,1670,HDFCBANK25MAY231670PE,2023-05-25 15:30:00,1673.0,p,0.09600277777777778,0.17271003380683983
204416,2023-04-27 12:04:00,25.8,1670,HDFCBANK25MAY231670CE,2023-05-25 15:30:00,1671.5,c,0.07657222222222222,0.13578511922404646
204418,2023-04-20 10:39:00,29.65,1670,HDFCBANK25MAY231670CE,2023-05-25 15:30:00,1668.85,c,0.09680833333333333,0.14585462457650486
204419,2023-04-20 11:28:00,15.0,1670,HDFCBANK27APR231670CE,2023-04-27 15:30:00,1671.65,c,0.020672222222222224,0.14775007545643387
204420,2023-04-20 11:20:00,30.65,1670,HDFCBANK25MAY231670CE,2023-05-25 15:30:00,1670.0,c,0.09669444444444444,0.14795903306132951
204423,2023-04-27 11:58:00,1.95,1670,HDFCBANK27APR231670PE,2023-04-27 15:30:00,1670.65,p,0.0005888888888888889,0.13976805328127404
204424,2023-04-20 12:20:00,11.35,1670,HDFCBANK27APR231670PE,2023-04-27 15:30:00,1671.2,p,0.020527777777777777,0.12504644472106968
204425,2023-04-26 10:43:00,25.4,1670,HDFCBANK25MAY231670CE,2023-05-25 15:30:00,1665.7,c,0.08079722222222223,0.14539296078404348
204426,2023-04-20 11:46:00,10.75,1670,HDFCBANK27APR231670PE,2023-04-27 15:30:00,1671.05,p,0.020622222222222222,0.11773103491228544
204431,2023-04-21 09:40:00,29.9,1670,HDFCBANK25MAY231670CE,2023-05-25 15:30:00,1670.85,c,0.09297222222222222,0.14505971734124376
204434,2023-04-27 12:27:00,1.65,1670,HDFCBANK27APR231670CE,2023-04-27 15:30:00,1667.45,c,0.0005083333333333333,0.18242782902128218
204439,2023-04-26 14:47:00,26.3,1670,HDFCBANK25MAY231670CE,2023-05-25 15:30:00,1669.8,c,0.08011944444444445,0.14001058448228457
204441,2023-04-20 13:26:00,29.35,1670,HDFCBANK25MAY231670CE,2023-05-25 15:30:00,1670.4,c,0.09634444444444444,0.14095315671435127
204442,2023-04-18 11:56:00,32.4,1670,HDFCBANK25MAY231670CE,2023-05-25 15:30:00,1667.7,c,0.10459444444444443,0.15577377252998434
204444,2023-04-20 13:31:00,13.5,1670,HDFCBANK27APR231670CE,2023-04-27 15:30:00,1669.95,c,0.020330555555555557,0.14238020067835466
204447,2023-04-20 11:53:00,30.25,1670,HDFCBANK25MAY231670CE,2023-05-25 15:30:00,1671.5,c,0.09660277777777777,0.1423809087616601
204450,2023-04-26 13:44:00,32.6,1670,HDFCBANK25MAY231670PE,2023-05-25 15:30:00,1669.9,p,0.08029444444444445,0.17243983052864437
204451,2023-04-21 10:36:00,10.45,1670,HDFCBANK27APR231670PE,2023-04-27 15:30:00,1668.85,p,0.016816666666666667,0.11421542962511806
204454,2023-04-26 14:21:00,26.45,1670,HDFCBANK25MAY231670CE,2023-05-25 15:30:00,1670.7,c,0.08019166666666667,0.1383124406725881
204456,2023-04-25 13:25:00,7.0,1670,HDFCBANK27APR231670PE,2023-04-27 15:30:00,1669.2,p,0.008347222222222223,0.10832873306772642
204458,2023-04-21 10:32:00,36.1,1670,HDFCBANK25MAY231670PE,2023-05-25 15:30:00,1667.75,p,0.09282777777777777,0.1723819378355833
204465,2023-04-18 12:37:00,33.35,1670,HDFCBANK25MAY231670CE,2023-05-25 15:30:00,1671.25,c,0.10448055555555555,0.1519029084125692
204468,2023-04-26 12:25:00,33.0,1670,HDFCBANK25MAY231670PE,2023-05-25 15:30:00,1668.5,p,0.08051388888888888,0.17065952987860164
204469,2023-04-27 09:33:00,5.35,1670,HDFCBANK27APR231670CE,2023-04-27 15:30:00,1672.0,c,0.0009916666666666667,0.20367877893429406
204472,2023-04-28 09:28:00,24.0,1670,HDFCBANK25MAY231670CE,2023-05-25 15:30:00,1673.75,c,0.07300555555555555,0.1224942209187677
