,date,open,high,low,close,volume
NIFTY2361517800PE,2023-06-05 09:45:00+05:30,3.8,3.95,3.8,3.85,4100
NIFTY2361517900CE,2023-06-05 09:45:00+05:30,765.45,765.45,765.45,765.45,0
NIFTY2361517900PE,2023-06-05 09:45:00+05:30,5.45,5.45,5.35,5.4,2300
NIFTY2361518000CE,2023-06-05 09:45:00+05:30,663.45,663.45,663.45,663.45,0
NIFTY2361518000PE,2023-06-05 09:45:00+05:30,7.95,7.95,7.6,7.7,3050
NIFTY2361518100CE,2023-06-05 09:45:00+05:30,561.1,561.1,561.1,561.1,0
NIFTY2361518100PE,2023-06-05 09:45:00+05:30,11.2,11.25,10.85,10.9,4150
NIFTY2361518200CE,2023-06-05 09:45:00+05:30,475,480,475,480,50
NIFTY2361518200PE,2023-06-05 09:45:00+05:30,16.85,16.9,16.05,16.35,8600
NIFTY2361518300CE,2023-06-05 09:45:00+05:30,379.9,386.85,379.9,386.85,150
NIFTY2361518300PE,2023-06-05 09:45:00+05:30,26.1,26.1,25,25.15,11350
NIFTY2361518400CE,2023-06-05 09:45:00+05:30,293.05,304.65,293.05,304,1050
NIFTY2361518400PE,2023-06-05 09:45:00+05:30,40.25,40.35,38.4,39.05,10450
NIFTY2361518500CE,2023-06-05 09:45:00+05:30,220,225.9,219.7,224.75,16950
NIFTY2361518500PE,2023-06-05 09:45:00+05:30,62.2,62.35,59.35,60,26600
NIFTY2361518600CE,2023-06-05 09:45:00+05:30,153.75,157.6,153,156.6,26050
NIFTY2361518600PE,2023-06-05 09:45:00+05:30,95.2,95.25,90.55,91.9,26050
NIFTY2361518700CE,2023-06-05 09:45:00+05:30,98.45,101.55,98.1,100.8,13250
NIFTY2361518700PE,2023-06-05 09:45:00+05:30,140.25,140.5,134.5,136.45,11200
NIFTY2361518800CE,2023-06-05 09:45:00+05:30,57.65,59.5,57.45,58.75,7900
NIFTY2361518800PE,2023-06-05 09:45:00+05:30,199.95,199.95,192.25,194.1,3500
NIFTY2361518900CE,2023-06-05 09:45:00+05:30,30.5,31.45,30.35,31.15,16500
NIFTY2361518900PE,2023-06-05 09:45:00+05:30,275.05,275.05,264.95,265,12100
NIFTY2361519000CE,2023-06-05 09:45:00+05:30,15.5,15.9,15.4,15.65,5600
NIFTY2361519000PE,2023-06-05 09:45:00+05:30,354.85,354.85,350,350,150
NIFTY2361519100CE,2023-06-05 09:45:00+05:30,7.55,7.75,7.55,7.6,1050
NIFTY2361519100PE,2023-06-05 09:45:00+05:30,471,471,471,471,0
